month,date,inquiry_index,unadjusted_inquiry_index
283,2023-08,279.7142,291.28658
284,2023-09,280.80615,267.5977
285,2023-10,293.48779,294.64098
286,2023-11,281.2202,304.68699
287,2023-12,273.64696,279.29514
288,2024-01,268.93942,259.81214
289,2024-02,275.95274,245.00468
290,2024-03,264.70337,265.2227
291,2024-04,257.74655,253.07089
292,2024-05,255.38224,257.91252
293,2024-06,255.74159,255.14806
294,2024-07,253.7324,269.05821
295,2024-08,246.86946,258.40318
296,2024-09,246.40331,232.36793
297,2024-10,240.07174,242.39867
298,2024-11,235.87544,258.01753
299,2024-12,238.25966,245.10777
300,2025-01,236.25614,224.5881
301,2025-02,231.42339,201.30778
302,2025-03,235.70061,236.95756
303,2025-04,240.15116,236.03543
304,2025-05,236.18296,238.57462
305,2025-06,230.19851,228.22123
306,2025-07,229.4361,247.06084
307,2025-08,234.31226,241.24745
308,2025-09,232.86172,223.2555
309,2025-10,230.21317,229.13954
310,2025-11,232.89272,253.34008
311,2025-12,242.4922,253.79637
312,2026-01,232.806,221.0676
313,2026-02,231.11357,201.31732
314,2026-03,225.82027,227.88331
315,2026-04,221.89544,218.14277
