month,date,deep-subprime_yoy,subprime_yoy,near-prime_yoy,prime_yoy,super-prime_yoy
119,2009-12,-.2678076532818645,-.2348663966932448,-.2173999539008644,-.2396181041599357,-.1585518112050395
120,2010-01,-.1838641281143942,-.021174130077455,-.1562740685642195,-.1895627483952763,-.0820011912328458
121,2010-02,-.3578022274484044,-.1171915489228085,-.1216932971679676,-.2046804094058688,-.1179165004439754
122,2010-03,-.1888896828686172,.0670372020193848,-.0189468626248901,-.1405499983545186,-.0928783342748042
123,2010-04,-.2322933300205137,.0456389826135611,.0353896076566312,-.0031388976014655,-.033953801027218
124,2010-05,-.0825567355492595,.1709408921531558,.0330543600041635,-.0446008295661085,-.0699949205900298
125,2010-06,.0164693817499556,.61954593382316,.2535060510939901,.0469243345316908,-.0537986477968379
126,2010-07,.0033373197326773,.7362556606786261,.3464260591836117,.1159592437203733,.0030439242317493
127,2010-08,.1927799842371222,.7099263656142284,.4138650990483807,.1818603447347442,.0047489342048669
128,2010-09,.2543335050787573,.8219497196010485,.4996074032529459,.1911485730056147,-.0018154427829626
129,2010-10,-.0001547991192629,.3484365102886401,.2621606959876229,.1630349788429592,-.0255422071341829
130,2010-11,.2358887203632244,.5377792481511795,.3585084025701085,.2054977568418094,.0197337318143954
131,2010-12,.1641287161478911,.3682817717850168,.2070549377727199,.1662761067752597,.0540782820837875
132,2011-01,.3271502587610803,.3361909778163341,.2837218333749968,.1658829127916128,-.0175007348218468
133,2011-02,.9983516057004309,.7298492496764727,.5027268019548834,.327572646742281,.0615425296684162
134,2011-03,.8616877693633245,.6683133402700232,.4888320286440527,.3710638383223226,.0813496098894514
135,2011-04,.7738182162633663,.6424446922505062,.3537934973262888,.1344061222516525,-.0195049813124903
136,2011-05,.5309311339610697,.4958650051741488,.469848362728365,.3486143034311692,.0970037166577396
137,2011-06,.4874833761350079,.4590030098303891,.4237214197804736,.254611602102488,.0570749753911353
138,2011-07,.289782113018529,.1521655789835237,.2632647678433158,.232643369754477,.0380816663469478
139,2011-08,.3578920910659783,.3661663436753287,.3940471397785438,.3379834034897936,.1019222214660423
140,2011-09,.2311262050939744,.1514550693278667,.1975306480696043,.2197055710574425,.1391383222978559
141,2011-10,.068069009501978,.161832074227622,.2286967318804825,.2163513666596538,.1525485641122182
142,2011-11,.0922468069796728,.1644244143993772,.2164467719980166,.1932817004756493,.1187751506480603
143,2011-12,-.041615256295097,.0732759656274274,.0876553161514276,.1024458307551519,.0627606294876777
144,2012-01,-.1073553777904473,.0766714046221732,.1141021160737104,.1516831995012017,.0575265314443873
145,2012-02,.0532102796584411,.1340787935237116,.1401220840804293,.1482846304761472,.1053075977560534
146,2012-03,-.0362280022638949,-.0010900287957171,.0480513992717208,.0452199354988851,-.01214029576821
147,2012-04,-.0528250416641637,-.0320469173425209,.0837491967980019,.1168417699144713,.0346684389607229
148,2012-05,-.0042425567675106,.0237791964789827,.0306874950440096,.011930240585011,-.0501913989907562
149,2012-06,-.0913373810400078,-.0671118359425486,.0208484633548157,.0493981382908581,-.0324460546867084
150,2012-07,-.1496218628094785,-.0226356523545384,.0317507692431243,.0523263077006511,-.0265526994538146
151,2012-08,-.1782266451668306,-.0337296839466811,-.0143023552109498,-.0137030842787191,-.0903181134805278
152,2012-09,-.2569381278275817,-.0766690673877891,-.029923185285596,.0259221861096212,-.0796047139678356
153,2012-10,-.1894554195180098,-.1294126374747313,.0134960581974599,.1532768008979387,-.0487514008058332
154,2012-11,-.2599430518498999,-.105946362643068,.024819042062464,.0550036006539504,-.0582749402236468
155,2012-12,-.1576158940397353,-.0173635012041409,.0781954606091603,.1259509447534231,.0097893778711789
156,2013-01,-.1647547813764575,-.065846856256797,.0945619283486031,.1407737526318953,.0348138815474119
157,2013-02,-.2057392911691192,-.0546728584097469,.0383815549402032,.0557632585745385,-.0430502689621834
158,2013-03,-.1619529651146808,-.0806002269733962,.0251991920022841,.0861651272955379,.0401155240273697
159,2013-04,-.1207086913828501,-.0552611688350948,.0876725384696372,.1483441314110528,.0393541741654345
160,2013-05,-.1316856303217535,-.0720729708007621,.0667469049997256,.14192034576329,.0494309819617347
161,2013-06,-.1066447542808668,-.0621947538954768,.0523198710522867,.1198023522315668,.0493061930993464
162,2013-07,.0333412601610418,-.0082316107233303,.1386093404212815,.2190243783796925,.0742632304506428
163,2013-08,-.0177991723907318,-.0171978834470592,.1671522989673094,.1492825225979764,.0692189850350483
164,2013-09,.3073436180335044,.2816754234918394,.2878193395657751,.2086274509803916,.0624044234981955
165,2013-10,.2986699266764716,.3742341482535599,.3415218747443354,.1073136736589137,.0384329313339956
166,2013-11,.2655750433344131,.1974567454322599,.2334087967513669,.1554730642018473,.0667940706830555
167,2013-12,.2613535217191442,.2778803969177567,.316867820540609,.2286443768996955,.100541796784566
168,2014-01,.3618289783385304,.3323266322390264,.343475545771838,.1859860808728195,.0482645849786363
