month,date,vol,vol_unadj
142,2011-11,20054082036.95686,21872987570.20201
143,2011-12,19940026533.59964,20757335241.41415
144,2012-01,19053401182.47841,17628944388.8889
145,2012-02,19956930629.05212,17794827170.70707
146,2012-03,19677989395.00845,19973564098.48485
147,2012-04,19231594031.16755,19097772632.32323
148,2012-05,19489926009.38313,19482964954.54545
149,2012-06,19449295744.87363,18891744311.11111
150,2012-07,19016853522.47905,19569709761.61615
151,2012-08,19344734730.16213,19966382173.73736
152,2012-09,19532879058.78685,18935591706.0606
153,2012-10,20067579479.478,20723878551.51516
154,2012-11,19944218831.8786,21693622578.28283
155,2012-12,20061021245.63065,20958890783.83839
156,2013-01,21354179411.43442,19980402538.8889
157,2013-02,21020079630.03879,18744111781.31313
158,2013-03,20959446064.60361,21240336847.97979
159,2013-04,20985188545.1714,20810567612.62628
160,2013-05,20461682286.7607,20455961403.03029
161,2013-06,20946104212.06887,20506493076.76769
162,2013-07,21488447120.4137,22193814091.91919
163,2013-08,22563823243.93501,23196862090.40404
164,2013-09,23474489689.83082,22785697167.67675
165,2013-10,23519689620.87534,24188928896.46465
166,2013-11,24420694510.9869,26354125028.78789
167,2013-12,26015066503.01446,26953137451.51516
168,2014-01,25346856880.43906,23975616569.69697
169,2014-02,25103145184.48194,22297686876.26263
170,2014-03,24646296886.78506,25028488278.28283
171,2014-04,26126730326.06519,25800141405.05051
172,2014-05,26114748609.11919,26134402382.82829
173,2014-06,24778957201.94004,24647206573.23233
174,2014-07,27165453937.71603,28273631543.93939
175,2014-08,25202064999.70566,25857831017.17171
176,2014-09,25296516034.71211,24483602325.75757
177,2014-10,24594712277.5993,25212553140.9091
178,2014-11,25241128442.36648,27079366277.77779
179,2014-12,26845440255.41139,27371798833.33334
180,2015-01,26579441044.74099,25419366411.61615
181,2015-02,26136221900.41972,23159027613.63636
182,2015-03,27501874386.87648,27952588638.38384
183,2015-04,28711378012.40652,28187226428.28283
184,2015-05,28267521073.11908,28386352406.56565
185,2015-06,29664627030.44966,29857255544.44445
186,2015-07,28673222976.5741,30141184394.44444
187,2015-08,28993598400.80993,29801145413.13133
188,2015-09,30158190549.32831,28984268528.78787
189,2015-10,31729613335.52566,32424710865.15152
190,2015-11,30362662773.32365,32478860456.06061
191,2015-12,30899464788.18551,30957652740.90909
192,2016-01,30344448396.96136,29418143812.12123
193,2016-02,32481205754.32333,28751776486.86869
194,2016-03,32087904808.7182,32824206765.65657
195,2016-04,32272785620.55074,31429342895.45454
196,2016-05,34127123976.28426,34184794896.9697
197,2016-06,34935491227.40977,35273694029.79795
198,2016-07,34832337717.23508,36726038715.15151
199,2016-08,33760711147.58145,34905200261.61616
200,2016-09,34118812227.34532,32618054995.45454
201,2016-10,29878564521.70154,30556238554.54546
202,2016-11,30249166255.20688,32369005139.899
203,2016-12,30870374940.28854,30655004244.94951
204,2017-01,36052866597.69885,35407098321.71716
205,2017-02,31687297136.16277,28233413446.96969
206,2017-03,33219034491.73898,34064902614.14141
207,2017-04,30843131619.3168,29746256106.06062
208,2017-05,31491983900.65041,31363745842.42424
209,2017-06,32934038676.78992,32914953263.63638
210,2017-07,32813776529.50915,34374205426.2626
211,2017-08,31516049379.7763,32823724389.39394
212,2017-09,29606361578.66597,28393743724.74748
213,2017-10,30188619397.17424,31074281421.21212
214,2017-11,31761590006.7455,34177763876.76765
215,2017-12,30496911709.10349,30176006493.43437
216,2018-01,31697273487.33885,31435923544.44445
217,2018-02,31833075349.29817,28465514913.13131
218,2018-03,31826697063.69146,32733829349.99999
219,2018-04,33182708481.70101,31730132860.60607
220,2018-05,33727386784.59436,33242635364.14142
221,2018-06,32481914187.53952,32128201146.46464
222,2018-07,32799028904.74318,34046336841.41414
223,2018-08,32822611883.14979,34357701185.85861
224,2018-09,31711932575.4642,30568205450.50504
225,2018-10,32909139423.27352,34011364890.40405
226,2018-11,31933512484.33422,34709687383.33333
227,2018-12,31424531170.48708,31236096733.33332
228,2019-01,34255558158.37234,34052311218.18182
229,2019-02,34128028079.78879,30531038686.86869
230,2019-03,34734197154.46363,35696177286.36364
231,2019-04,34922399863.03012,33308449091.41415
232,2019-05,34297863445.721,33623315032.82828
233,2019-06,32680557804.33637,32024088146.96971
234,2019-07,32143246336.82394,33158718933.83839
235,2019-08,37782276983.62492,39584045143.9394
236,2019-09,35937543263.41261,34880519280.80808
