month,date,vol,vol_unadj,age_group
94,2007-11,4145520894.370471,4419499884.343434,Younger than 30
94,2007-11,4748451614.983079,4815270877.777779,Age 65 and older
95,2007-12,10894101479.55403,11035799637.37374,Age 30-44
95,2007-12,15173743493.32534,15256486912.62627,Age 45-64
95,2007-12,4067763122.033178,3987904142.424243,Younger than 30
95,2007-12,4818028541.694489,4644073431.31313,Age 65 and older
96,2008-01,10600276370.52331,9557862755.050507,Age 30-44
96,2008-01,14974210795.85136,13464806172.22222,Age 45-64
96,2008-01,3998734840.865236,3489644173.232323,Younger than 30
96,2008-01,4686390732.819352,4214464980.303031,Age 65 and older
97,2008-02,10419708415.32763,9099999836.868689,Age 30-44
97,2008-02,14080156586.85985,12759957202.0202,Age 45-64
97,2008-02,3990244100.3048,3216353490.909091,Younger than 30
97,2008-02,4430577021.968445,4148282857.070706,Age 65 and older
98,2008-03,13766821447.40974,13735539430.80808,Age 45-64
98,2008-03,3654284139.664598,3472074089.89899,Younger than 30
98,2008-03,4452613579.208765,4476145728.282828,Age 65 and older
98,2008-03,9810754124.072065,9582655188.383839,Age 30-44
99,2008-04,14037197534.67169,13785225302.0202,Age 45-64
99,2008-04,3559477028.18554,3466072462.12121,Younger than 30
99,2008-04,4635048321.012434,4606051861.111111,Age 65 and older
99,2008-04,9532346987.027313,9291633139.39394,Age 30-44
100,2008-05,13432413963.40675,13447177700,Age 45-64
100,2008-05,3434949300.548523,3461727548.989899,Younger than 30
100,2008-05,4679474701.186598,4730834683.838387,Age 65 and older
100,2008-05,9286716629.138542,9304741784.343435,Age 30-44
101,2008-06,10033403465.72682,9935801636.868687,Age 30-44
101,2008-06,14470216228.19368,14351151354.54546,Age 45-64
101,2008-06,3422741618.253299,3553146411.111111,Younger than 30
101,2008-06,4831119125.238761,4878234983.333334,Age 65 and older
102,2008-07,18189259892.3155,18988773127.77778,Age 45-64
102,2008-07,3356973255.598565,3633613897.474748,Younger than 30
102,2008-07,7656850960.761602,7910922029.79798,Age 65 and older
102,2008-07,9949506002.048582,10555248081.81818,Age 30-44
103,2008-08,12871314321.40185,13629653537.87879,Age 45-64
103,2008-08,2906333332.520326,3325427439.39394,Younger than 30
103,2008-08,4436909818.298382,4556461021.717173,Age 65 and older
103,2008-08,8357212402.978077,8965925676.262627,Age 30-44
104,2008-09,12526642409.23564,12255650475.25253,Age 45-64
104,2008-09,2980117633.875416,3056821894.444445,Younger than 30
104,2008-09,4368156881.801372,4342003008.080807,Age 65 and older
104,2008-09,8406912170.496917,8413714801.515153,Age 30-44
105,2008-10,10936224532.44142,11538858648.48485,Age 45-64
105,2008-10,2598290748.031774,2706781871.717171,Younger than 30
105,2008-10,3764883568.18858,4129140203.535352,Age 65 and older
105,2008-10,7308792316.561129,7670577301.515153,Age 30-44
106,2008-11,10166195910.07362,10890462019.19192,Age 45-64
106,2008-11,2268766419.198914,2442482557.575758,Younger than 30
106,2008-11,3759117951.418494,3861567841.414142,Age 65 and older
106,2008-11,6206604830.349008,6702201519.696967,Age 30-44
107,2008-12,2022424405.956848,1993555704.040404,Younger than 30
107,2008-12,3337402997.446898,3226126541.919192,Age 65 and older
107,2008-12,5575646676.896229,5679553130.808082,Age 30-44
107,2008-12,8974942964.966148,9157767852.525257,Age 45-64
108,2009-01,1910000701.476091,1669180818.181818,Younger than 30
108,2009-01,3116221866.049715,2814593578.787878,Age 65 and older
108,2009-01,5127805456.370195,4637893306.060607,Age 30-44
108,2009-01,8189382437.18531,7374292003.030302,Age 45-64
109,2009-02,1709327913.156974,1371582244.949495,Younger than 30
109,2009-02,2945901028.411685,2718606065.656565,Age 65 and older
109,2009-02,4677985917.824001,4077858075.757575,Age 30-44
109,2009-02,7781142414.134165,7010713241.919191,Age 45-64
110,2009-03,1696410676.460347,1614418348.989898,Younger than 30
110,2009-03,2858444410.108497,2922742189.39394,Age 65 and older
110,2009-03,4590661027.826163,4501669983.333334,Age 30-44
110,2009-03,7507971318.473516,7577014292.424241,Age 45-64
111,2009-04,1630196045.433836,1590455505.050505,Younger than 30
111,2009-04,2874229413.602657,2871938757.575758,Age 65 and older
111,2009-04,4487344338.92474,4379519416.161617,Age 30-44
111,2009-04,7430411388.52981,7280931918.181817,Age 45-64
112,2009-05,1558031571.55907,1566542262.626263,Younger than 30
112,2009-05,2862135073.736414,2892996146.969696,Age 65 and older
112,2009-05,4269425081.592081,4291370952.525252,Age 30-44
112,2009-05,7314144838.919,7334510559.090909,Age 45-64
113,2009-06,1465074078.395281,1514158055.555555,Younger than 30
113,2009-06,2717625859.215471,2728931775.252526,Age 65 and older
113,2009-06,4141436568.956614,4082196337.878786,Age 30-44
113,2009-06,6914794730.68909,6811212315.656567,Age 45-64
114,2009-07,1413016503.047976,1528236417.171718,Younger than 30
114,2009-07,2473344966.227453,2550456468.181818,Age 65 and older
114,2009-07,3845875642.874598,4070222254.040403,Age 30-44
114,2009-07,6473772801.122303,6725515037.373739,Age 45-64
115,2009-08,1389592554.28415,1585553046.464646,Younger than 30
115,2009-08,2387393357.196067,2426585593.434344,Age 65 and older
115,2009-08,3760210555.801475,4003745527.272728,Age 30-44
115,2009-08,6272304972.441594,6556742614.141415,Age 45-64
116,2009-09,1358424935.150066,1381197175.252525,Younger than 30
