month,date,vol,vol_unadj,income_level_group
138,2011-07,8672983654.35663,8398360236.86869,High
139,2011-08,2443239565.00901,2550582312.62626,Moderate
139,2011-08,399522873.112136,417417684.848485,Low
139,2011-08,7884779767.41585,8136694165.65656,Middle
139,2011-08,9104151249.29154,9324829157.0707,High
140,2011-09,2471068957.94554,2448526315.15151,Moderate
140,2011-09,413841362.698972,405851340.909091,Low
140,2011-09,8081143053.96251,7928578425.75758,Middle
140,2011-09,9407876817.487459,9600867534.343439,High
141,2011-10,2379626499.77167,2506768900,Moderate
141,2011-10,405431960.014134,429260082.323232,Low
141,2011-10,7645247688.70255,7961524430.30303,Middle
141,2011-10,9470709317.687441,9553387503.53536,High
142,2011-11,2452582280.68971,2708304557.57576,Moderate
142,2011-11,403539561.982383,447107530.808081,Low
142,2011-11,7665021224.80542,8580097248.48485,Middle
142,2011-11,9092784960.240219,9954879560.60605,High
143,2011-12,2445914486.84684,2516123671.71717,Moderate
143,2011-12,406195233.01042,418505832.323232,Low
143,2011-12,7603415232.53719,8126061474.24243,Middle
143,2011-12,9070275707.43885,9531144875.75757,High
144,2012-01,2351642407.38362,2120043486.86869,Moderate
144,2012-01,404439073.714537,355939257.070707,Low
144,2012-01,7338744275.13305,6743981479.79798,Middle
144,2012-01,8742270927.287069,8246448499.49495,High
145,2012-02,2499927200.40441,2151554131.31313,Moderate
145,2012-02,466570149.702145,390353681.818182,Low
145,2012-02,7839314164.26645,6935594729.79798,Middle
145,2012-02,8947413751.690559,8155922978.78788,High
146,2012-03,2487011654.61945,2484247892.92929,Moderate
146,2012-03,413444767.115246,422628713.636364,Low
146,2012-03,7620291967.68719,7731451587.87879,Middle
146,2012-03,9026120047.79344,9155745653.0303,High
147,2012-04,2422266601.13464,2396494552.52525,Moderate
147,2012-04,433768314.669729,435778117.171717,Low
147,2012-04,7522747749.16388,7372671890.90909,Middle
147,2012-04,8940783016.42321,8720473647.97979,High
148,2012-05,2435696560.9573,2467023571.71717,Moderate
148,2012-05,426032927.31031,442376815.151515,Low
148,2012-05,7689004719.12576,7573203264.64647,Middle
148,2012-05,8922698399.046049,8819309520.707069,High
149,2012-06,2511720788.30122,2477732261.11111,Moderate
149,2012-06,442191193.776983,441244337.878788,Low
149,2012-06,7486568233.06041,7151549560.60606,Middle
