month,date,num,num_unadj
130,2010-11,1736241.359670066,1193365.151515151
131,2010-12,1596850.680328469,782985.8585858587
132,2011-01,1611174.194347915,1385641.414141414
133,2011-02,1625391.284272998,1051288.383838384
134,2011-03,1800582.100747796,955339.8989898993
135,2011-04,1914986.174675438,989861.6161616164
136,2011-05,1950365.638914619,1284525.252525252
137,2011-06,1920068.588779762,1269297.474747474
138,2011-07,1914751.374157096,1275801.01010101
139,2011-08,2039413.033415762,5649031.313131312
140,2011-09,1910739.413797092,4705818.686868684
141,2011-10,1639312.873365835,1857720.202020202
142,2011-11,1823342.786201117,1181945.959595959
143,2011-12,1813029.520085459,828845.9595959598
144,2012-01,1869326.926202291,1615219.696969696
145,2012-02,1863074.779230099,1182477.272727272
146,2012-03,1914038.436759523,973300
147,2012-04,1891777.604099587,937292.9292929294
148,2012-05,2031634.683609458,1334414.141414141
149,2012-06,2167022.841912385,1396385.353535353
150,2012-07,2138980.481470468,1379420.202020202
151,2012-08,1869684.992100678,5375558.080808077
152,2012-09,1649499.975697059,4177826.767676767
153,2012-10,1773569.40200473,1967434.343434343
154,2012-11,1659059.698867072,1008266.161616162
155,2012-12,1565633.395608464,685737.878787879
156,2013-01,1664164.311545374,1443938.383838383
157,2013-02,1633047.030019752,1024523.737373738
158,2013-03,1571978.719606735,773253.0303030305
159,2013-04,1552758.379067956,739650.0000000006
160,2013-05,1520006.406294563,983460.6060606068
161,2013-06,1430646.129807974,885246.9696969689
162,2013-07,1389895.279545771,869844.4444444438
163,2013-08,1505152.813252511,4455528.787878782
164,2013-09,1498039.599753414,3904900.505050502
165,2013-10,1529714.824888993,1655066.666666666
166,2013-11,1538320.144628813,887735.3535353536
167,2013-12,1373571.193708649,597283.8383838387
168,2014-01,1504779.594507904,1302831.818181817
169,2014-02,1504321.870179849,938581.3131313133
170,2014-03,1434809.84756187,691119.6969696975
171,2014-04,1487684.055869585,680122.2222222225
172,2014-05,1432697.704893659,898200.0000000002
173,2014-06,1435633.04207502,863287.3737373736
174,2014-07,1428015.729600159,877984.3434343432
175,2014-08,1439154.960532747,4356890.909090906
176,2014-09,1464188.31859437,3907294.949494949
177,2014-10,1411473.976682728,1487057.07070707
178,2014-11,1390301.384625878,777282.8282828286
179,2014-12,1470910.889028722,643162.6262626264
180,2015-01,1395534.103842782,1202782.828282828
181,2015-02,1383977.924323375,849353.5353535357
182,2015-03,1414219.099963158,676137.8787878796
183,2015-04,1384171.031624774,605725.2525252529
184,2015-05,1348938.288197037,829984.8484848484
185,2015-06,1379494.411164253,807550.5050505048
186,2015-07,1411796.0430198,854657.0707070705
187,2015-08,1310192.232987172,4085373.232323229
188,2015-09,1386544.844933499,3715544.444444445
189,2015-10,1351401.747843242,1396063.131313131
190,2015-11,1335649.991894628,733758.0808080808
191,2015-12,1351627.731389512,586275.7575757578
192,2016-01,1321863.984219374,1142910.606060605
193,2016-02,1373226.549798006,823748.4848484846
194,2016-03,1383092.529287181,651330.3030303037
195,2016-04,1328743.062526265,555898.484848485
196,2016-05,1292637.880200311,798539.3939393945
197,2016-06,1341745.218367734,765792.9292929295
198,2016-07,1205101.786297477,721708.5858585858
199,2016-08,1337181.323673838,4332767.171717168
200,2016-09,1327466.212012557,3496477.272727274
201,2016-10,1251985.693567282,1276509.595959595
202,2016-11,1423072.713668692,772106.0606060605
203,2016-12,1313779.819051901,558669.696969697
204,2017-01,1315507.363991385,1153817.676767676
205,2017-02,1336667.578822706,781519.1919191917
206,2017-03,1349352.536052709,618659.5959595963
207,2017-04,1244254.920943549,504273.2323232324
208,2017-05,1349560.688895874,851721.212121212
209,2017-06,1325993.490524487,732185.8585858584
210,2017-07,1227312.306985728,729443.4343434343
211,2017-08,1328269.173449911,4446832.323232321
212,2017-09,1282973.828319147,3305063.636363637
213,2017-10,1303994.138512369,1329031.313131312
214,2017-11,1285650.878366186,689605.5555555556
215,2017-12,1268090.471542887,524530.8080808077
216,2018-01,1281564.300568822,1146029.797979798
217,2018-02,1221993.465541024,702185.8585858587
218,2018-03,1236407.712073372,547527.7777777781
219,2018-04,1265580.887989443,503970.202020202
220,2018-05,1293828.063872121,829770.2020202025
221,2018-06,1237174.80673389,660681.8181818181
222,2018-07,1264071.13590459,755146.4646464644
223,2018-08,1291266.128232815,4411703.030303027
224,2018-09,1204586.843839106,3067681.313131314
225,2018-10,1283828.710175246,1303667.171717171
226,2018-11,1274755.751835801,676109.595959596
227,2018-12,1279171.188308738,517136.8686868686
228,2019-01,1269576.713266459,1146485.858585857
229,2019-02,1238495.019189299,711349.9999999998
230,2019-03,1195010.974231902,519625.7575757576
231,2019-04,1318930.170554534,517197.4747474749
232,2019-05,1241919.329023661,795935.3535353537
233,2019-06,1176550.33703166,616087.3737373739
234,2019-07,1257504.207502041,758700.5050505053
235,2019-08,1231712.682458807,4219639.898989896
236,2019-09,1234974.762660361,3178593.939393939
237,2019-10,1231961.66510411,1236124.747474747
238,2019-11,1174132.038015119,620418.1818181819
239,2019-12,1168441.29195586,463223.2323232324
240,2020-01,1185967.369743152,1070104.04040404
241,2020-02,1158901.898072054,669423.2323232326
242,2020-03,1103979.133400618,478555.0505050507
243,2020-04,1068604.961225026,409707.0707070706
244,2020-05,980292.4038066029,625515.1515151516
245,2020-06,1038882.771017898,543666.1616161616
246,2020-07,1119085.701163893,679405.0505050508
247,2020-08,1036223.732551626,3542853.030303032
248,2020-09,1034563.678048558,2704048.484848485
249,2020-10,1036979.376147516,1019232.828282828
250,2020-11,1027094.177478675,548987.8787878788
251,2020-12,1042238.704269724,407024.7474747475
252,2021-01,1042244.663692907,932336.8686868686
253,2021-02,1092678.341603239,629641.9191919193
254,2021-03,1095414.294341569,479892.4242424247
255,2021-04,1047742.600486966,393536.8686868686
256,2021-05,984520.6482369677,631147.4747474749
257,2021-06,1031837.076876433,546401.0101010102
258,2021-07,1006281.908349632,613460.6060606061
259,2021-08,1032936.333973588,3515124.242424245
260,2021-09,1064032.334739474,2803466.666666666
261,2021-10,987995.1122636462,956015.1515151516
262,2021-11,1052844.643180153,576235.8585858588
263,2021-12,1067163.045824346,411768.1818181818
264,2022-01,1038426.109647025,929651.0101010102
265,2022-02,1058130.807954154,600392.4242424247
266,2022-03,1069552.79571501,467921.2121212121
267,2022-04,1102035.720239984,413159.0909090912
268,2022-05,1157021.434890785,754945.9595959599
269,2022-06,1185956.505893311,641496.4646464646
270,2022-07,1172207.32354567,723117.6767676765
271,2022-08,1200810.269491682,4060788.383838382
272,2022-09,1201361.228743444,3141869.696969698
273,2022-10,1170198.631354869,1137763.131313131
274,2022-11,1390646.792183452,774526.7676767675
275,2022-12,1146496.022786704,438572.7272727275
276,2023-01,1156936.51673256,1048370.202020202
277,2023-02,1134008.995271944,631612.1212121216
278,2023-03,1179049.760992163,515256.5656565658
279,2023-04,1101772.482206475,421011.1111111111
280,2023-05,1193322.063086788,790427.7777777779
281,2023-06,1135654.448082163,624056.0606060607
282,2023-07,1204076.52768449,754509.5959595959
283,2023-08,1191995.771735332,4000248.484848483
284,2023-09,1180394.927618857,3048827.272727272
285,2023-10,1234715.191521551,1218056.06060606
286,2023-11,1290801.124768723,725597.474747475
287,2023-12,1248943.689360828,476083.3333333333
288,2024-01,1295416.425748554,1192909.09090909
289,2024-02,1306072.592672485,719468.6868686872
290,2024-03,1184777.041566173,512401.5151515153
291,2024-04,1336689.203500252,525587.8787878789
292,2024-05,1237464.270039706,825085.8585858588
293,2024-06,1297637.219133853,721079.292929293
294,2024-07,1227685.607021993,777488.3838383838
295,2024-08,1106811.814624009,3692641.919191918
296,2024-09,1180574.248829895,3022618.686868687
297,2024-10,1196683.840564726,1196681.818181818
298,2024-11,1123367.484250697,630901.4988150782
299,2024-12,1199435.874598342,457343.1952014829
300,2025-01,1493795.041443682,1389676.504082957
301,2025-02,1204475.357102393,660409.8019219107
302,2025-03,1160678.869257573,500480.9857103706
303,2025-04,1325820.189213977,530459.8576766589
