month,date,vol,vol_unadj,age_group
94,2007-11,2054769370.993975,1334102670.707071,Age 45-64
94,2007-11,2906599452.840236,2227036193.434342,Age 30-44
94,2007-11,6309866356.794827,4105822000,Younger than 30
95,2007-12,110840101.8594263,61860052.52525252,Age 65 and older
95,2007-12,1804289721.876523,930517447.9797978,Age 45-64
95,2007-12,2429745162.083701,1572201923.232323,Age 30-44
95,2007-12,5599245808.232979,3066502280.808081,Younger than 30
96,2008-01,102229210.586092,94432150.5050505,Age 65 and older
96,2008-01,2143835137.324611,1666792566.666666,Age 45-64
96,2008-01,2715788186.789019,2458860581.313131,Age 30-44
96,2008-01,5911465848.833014,4353111688.888888,Younger than 30
97,2008-02,2106267822.528389,1267666907.070707,Age 45-64
97,2008-02,2710426849.871598,1990721327.272727,Age 30-44
97,2008-02,5916619493.08817,3037690192.424242,Younger than 30
97,2008-02,90662069.9782978,59315166.16161618,Age 65 and older
98,2008-03,1576156213.074863,1010424860.606061,Age 45-64
98,2008-03,2184465475.829031,1573704521.717172,Age 30-44
98,2008-03,5162051337.945006,2217688107.070707,Younger than 30
98,2008-03,97142894.35484305,67801031.3131313,Age 65 and older
99,2008-04,121067754.601139,68909664.14141414,Age 65 and older
99,2008-04,1655730143.804519,1026419381.818182,Age 45-64
99,2008-04,2427765904.362534,1677008576.262626,Age 30-44
99,2008-04,5448650475.647599,2238405107.070707,Younger than 30
100,2008-05,1507689114.067435,954837820.7070708,Age 45-64
100,2008-05,2290694267.438623,1846724223.232324,Age 30-44
100,2008-05,5051628283.858522,2787343693.939393,Younger than 30
100,2008-05,91754894.60622564,68625936.86868691,Age 65 and older
101,2008-06,101184456.775421,75643787.87878789,Age 65 and older
101,2008-06,1261563452.368725,860379941.4141417,Age 45-64
101,2008-06,1673623004.230691,1478310506.060606,Age 30-44
101,2008-06,4492723046.086531,2837980690.404039,Younger than 30
102,2008-07,1689077130.44152,1496886893.939394,Age 45-64
102,2008-07,2639506368.426727,2664693308.080808,Age 30-44
102,2008-07,5566075513.804285,4531428750.505053,Younger than 30
102,2008-07,95382740.86553989,95776298.48484851,Age 65 and older
103,2008-08,1767736486.177021,4923320431.313128,Age 45-64
103,2008-08,2764080160.973573,5633405319.69697,Age 30-44
103,2008-08,5832575347.626793,19468550437.37374,Younger than 30
103,2008-08,88596403.04677129,207799769.6969697,Age 65 and older
104,2008-09,1906805465.486227,4215600080.30303,Age 45-64
104,2008-09,2947872031.935437,5150377679.292929,Age 30-44
104,2008-09,6352760006.791322,14837458051.51515,Younger than 30
104,2008-09,83614935.06459367,175435192.4242423,Age 65 and older
105,2008-10,2053038644.42246,2079332223.737372,Age 45-64
105,2008-10,3072859493.704957,3237909436.363636,Age 30-44
105,2008-10,6658482189.647052,7028815558.080811,Younger than 30
105,2008-10,98812661.51630652,105255854.5454545,Age 65 and older
106,2008-11,1667332598.475748,1085763748.989899,Age 45-64
106,2008-11,2473341950.841656,1871146859.59596,Age 30-44
106,2008-11,5492704222.120732,3555684390.40404,Younger than 30
106,2008-11,72882497.4457728,46544178.7878788,Age 65 and older
107,2008-12,2034899588.075815,1041978530.808081,Age 45-64
107,2008-12,3227200398.699879,2055263793.434343,Age 30-44
107,2008-12,6321756305.460741,3395493253.535353,Younger than 30
107,2008-12,66626234.13896319,36151697.47474749,Age 65 and older
108,2009-01,1910890546.920368,1500190766.666667,Age 45-64
108,2009-01,3077971258.561758,2824191761.111109,Age 30-44
108,2009-01,6419992885.728547,4755150978.78788,Younger than 30
108,2009-01,81881213.30138254,72765054.04040405,Age 65 and older
109,2009-02,1825621018.745952,1079410160.60606,Age 45-64
109,2009-02,3011841079.94301,2230434273.737374,Age 30-44
109,2009-02,6181091682.300723,3178767683.838383,Younger than 30
109,2009-02,74492027.59559457,47554609.09090909,Age 65 and older
110,2009-03,1940030952.896535,1210524774.242424,Age 45-64
110,2009-03,3119478463.075141,2240784641.414141,Age 30-44
110,2009-03,6284757047.096455,2630873122.727272,Younger than 30
110,2009-03,81488917.62613744,58570067.17171719,Age 65 and older
111,2009-04,1849601152.576332,1139673801.515151,Age 45-64
111,2009-04,2996540118.362605,2092346537.878788,Age 30-44
111,2009-04,6048072564.421921,2455206547.474748,Younger than 30
111,2009-04,72759193.49261759,40852642.92929292,Age 65 and older
112,2009-05,1861294171.868052,1171976390.909091,Age 45-64
112,2009-05,2977881626.992535,2429362022.727273,Age 30-44
112,2009-05,6121728059.820403,3352589718.181818,Younger than 30
112,2009-05,82682610.94707429,59236625.25252526,Age 65 and older
113,2009-06,1456435585.884521,980225738.8888896,Age 45-64
113,2009-06,2451163301.681846,2172457673.232323,Age 30-44
113,2009-06,5530015088.497887,3426541169.696971,Younger than 30
113,2009-06,72507179.12589398,52679823.23232322,Age 65 and older
114,2009-07,1932091318.53645,1634070406.565657,Age 45-64
114,2009-07,3181443025.716352,3171683992.424243,Age 30-44
114,2009-07,6217310268.198494,4898714653.030303,Younger than 30
114,2009-07,71738835.19005622,72151906.06060605,Age 65 and older
115,2009-08,1872552497.815453,5261992479.29293,Age 45-64
115,2009-08,2947020041.616085,6025015638.38384,Age 30-44
115,2009-08,5951680720.344275,20301885740.9091,Younger than 30
115,2009-08,75146056.56242819,180041332.3232324,Age 65 and older
116,2009-09,1908667712.148913,4322412872.727272,Age 45-64
116,2009-09,3037204115.669857,5252697679.797981,Age 30-44
116,2009-09,6017720223.685328,14143714691.41414,Younger than 30
116,2009-09,76344533.15645446,164078560.1010101,Age 65 and older
117,2009-10,1948200235.209551,1997523249.49495,Age 45-64
117,2009-10,3246045180.165852,3467595940.404039,Age 30-44
117,2009-10,6032139758.829347,6354117768.181818,Younger than 30
117,2009-10,76550297.30135901,83053085.85858586,Age 65 and older
118,2009-11,1981132500.248304,1278018970.707071,Age 45-64
118,2009-11,3143818320.858362,2320637977.272727,Age 30-44
118,2009-11,5976417230.994125,3803162495.454545,Younger than 30
118,2009-11,79343191.00368002,50274384.84848484,Age 65 and older
119,2009-12,2006372597.056261,1015709730.808081,Age 45-64
119,2009-12,3706229424.872356,2310463497.474746,Age 30-44
119,2009-12,6075794991.072578,3174973917.171717,Younger than 30
119,2009-12,91904614.4996292,47149399.99999999,Age 65 and older
120,2010-01,1976705730.860779,1552530378.282828,Age 45-64
120,2010-01,3411037477.503528,3167844259.59596,Age 30-44
120,2010-01,6096899557.911262,4513001511.616163,Younger than 30
120,2010-01,77151215.83342505,65636257.07070707,Age 65 and older
121,2010-02,2001478376.17428,1157526934.848485,Age 45-64
121,2010-02,3478533153.666465,2595777357.575758,Age 30-44
121,2010-02,6377492067.265495,3243685486.868687,Younger than 30
