month,date,vol,vol_unadj,credit_score_group
92,2007-09,7747784283.455282,7567052389.393941,Prime
93,2007-10,16305186703.9634,15058205051.01009,Super-prime
93,2007-10,3256634295.654697,3060130708.585859,Subprime
93,2007-10,3852188120.091899,3587040520.202018,Deep subprime
93,2007-10,4857319818.439669,4506148673.737372,Near-prime
93,2007-10,8167164411.719541,7759084258.080809,Prime
94,2007-11,15694217703.15602,13586042038.38384,Super-prime
94,2007-11,3152523293.048262,2776670875.757576,Subprime
94,2007-11,3936970805.922409,3347353462.121212,Deep subprime
94,2007-11,4569663943.349607,3980914782.828281,Near-prime
94,2007-11,7915425250.382791,7002592821.717173,Prime
95,2007-12,15491463614.50628,15381036084.34343,Super-prime
95,2007-12,2831295195.80901,2510283618.181818,Subprime
95,2007-12,3540885967.402573,3038198822.222225,Deep subprime
95,2007-12,4426508638.77466,3895682035.858585,Near-prime
95,2007-12,7592682027.408341,6981051407.575759,Prime
96,2008-01,15621174422.21982,12875879324.74748,Super-prime
96,2008-01,2902850155.878903,2554244203.030303,Subprime
96,2008-01,3386130356.864499,3181964479.797979,Deep subprime
96,2008-01,4308494837.516674,3722616044.444446,Near-prime
96,2008-01,7750332481.295886,6529327372.727277,Prime
97,2008-02,15719136848.56498,14107765805.55556,Super-prime
97,2008-02,2800944276.816679,2692758422.727272,Subprime
97,2008-02,3155600171.958078,3503363366.666667,Deep subprime
97,2008-02,4299399713.624511,3944948937.373736,Near-prime
97,2008-02,7803164295.973319,6902640726.767678,Prime
98,2008-03,15721625300.03871,16842215534.84848,Super-prime
98,2008-03,2470283050.219833,2814536662.121213,Subprime
98,2008-03,2930916947.338778,3475837825.252525,Deep subprime
98,2008-03,3948334730.193976,4359865201.010099,Near-prime
98,2008-03,7291967406.233199,7953508919.69697,Prime
99,2008-04,15986971665.92817,16471999723.73739,Super-prime
99,2008-04,2551131010.833218,2667290146.464647,Subprime
99,2008-04,2847951515.779946,2816413364.141415,Deep subprime
99,2008-04,3935972607.059843,4160662179.292927,Near-prime
99,2008-04,7400998353.742958,7784894274.747475,Prime
100,2008-05,15511989694.82993,17014745119.19192,Super-prime
100,2008-05,2688424319.310742,2888254494.949494,Subprime
100,2008-05,2744592855.687214,2882583818.181818,Deep subprime
100,2008-05,3753416641.162549,4198685669.69697,Near-prime
100,2008-05,7035049865.931344,7863813624.747478,Prime
101,2008-06,14829760184.40989,15688787387.87879,Super-prime
101,2008-06,2244858442.369772,2382494163.636363,Subprime
101,2008-06,2546858410.866494,2714874285.858586,Deep subprime
101,2008-06,3553751113.464712,3779109048.48485,Near-prime
101,2008-06,6745706554.455868,7228587135.858591,Prime
102,2008-07,13950982531.25339,15628986526.26262,Super-prime
102,2008-07,2156658356.085447,2307837283.838385,Subprime
102,2008-07,2408012101.328546,2440132262.121213,Deep subprime
102,2008-07,3471115409.098352,3807729665.151516,Near-prime
102,2008-07,6438714756.882922,7083778634.343436,Prime
103,2008-08,13981667502.44382,15659886837.87879,Super-prime
103,2008-08,2019833550.121264,2173080551.515152,Subprime
103,2008-08,2228475372.475795,2302753783.333333,Deep subprime
103,2008-08,3275980582.493113,3622292265.656567,Near-prime
103,2008-08,6160913721.492889,6806855924.747475,Prime
104,2008-09,13855152554.99792,13684645949.49495,Super-prime
104,2008-09,1893513946.233639,1859112320.707072,Subprime
104,2008-09,2107385898.015209,2045497326.262626,Deep subprime
104,2008-09,2972110826.774057,2936526982.828282,Near-prime
104,2008-09,6041225268.600955,5900267623.737375,Prime
105,2008-10,12327851017.5762,11448491139.89899,Super-prime
105,2008-10,1649997187.451655,1546807122.222221,Subprime
105,2008-10,1834948637.064856,1707233342.424243,Deep subprime
105,2008-10,2768934489.08782,2569446681.818182,Near-prime
105,2008-10,5332355320.492832,5070636777.77778,Prime
106,2008-11,12068460198.68531,10520802959.09091,Super-prime
