month,date,vol,vol_unadj,income_level_group
153,2012-10,106194957080.5794,116588008607.5758,High
153,2012-10,16406769095.42456,17152073155.55556,Moderate
153,2012-10,2161618040.869963,2340916640.909091,Low
153,2012-10,61551802540.58386,67136297862.12122,Middle
154,2012-11,106856177136.1189,109447392733.8384,High
154,2012-11,16008056127.75306,15826890981.81818,Moderate
154,2012-11,2057170937.270982,1893528916.666667,Low
154,2012-11,61920449578.1632,62691004470.20203,Middle
155,2012-12,110616854778.9692,115308107282.8282,High
155,2012-12,16797390542.22464,17181029800,Moderate
155,2012-12,2295517041.992075,2171240653.030303,Low
155,2012-12,63402193847.38801,63701716901.51516,Middle
156,2013-01,120448663124.7224,106946752515.1515,High
156,2013-01,18527528946.30445,15014596392.42425,Moderate
156,2013-01,2374226681.499808,1973827085.353537,Low
156,2013-01,72252447606.67844,61097647642.92929,Middle
157,2013-02,117047203365.5531,94778413094.4444,High
157,2013-02,17187070091.94703,13866553467.67677,Moderate
157,2013-02,2045236153.092728,1760318007.575758,Low
157,2013-02,69288568399.2901,55038304316.6667,Middle
158,2013-03,105644025555.5411,100564254863.1313,High
158,2013-03,16504008962.96715,15498858216.66667,Moderate
158,2013-03,2336449948.842607,2307940120.20202,Low
158,2013-03,61757144894.63453,58668696998.48486,Middle
159,2013-04,105282449486.6984,99508298996.46468,High
159,2013-04,16446960074.87326,16465706818.18182,Moderate
159,2013-04,2233420104.636561,2120689347.474747,Low
159,2013-04,63569724960.70632,62182418784.34344,Middle
160,2013-05,103403167808.268,106669616506.0606,High
160,2013-05,16505277653.60203,17540264685.8586,Moderate
160,2013-05,2386130955.760385,2464120918.686868,Low
160,2013-05,61581517492.46854,64285928232.82831,Middle
161,2013-06,15179990100.85446,17039558723.23231,Moderate
161,2013-06,2133177358.222327,2522600909.59596,Low
161,2013-06,56494134307.22521,63038999491.91918,Middle
161,2013-06,92965263583.07996,101054077824.2424,High
162,2013-07,14756091139.33019,16381078869.19192,Moderate
162,2013-07,1981150292.751686,2117157908.585858,Low
162,2013-07,54344184937.599,60221284713.63633,Middle
162,2013-07,86567222610.8616,95493801792.92932,High
163,2013-08,13252148703.14062,14616064459.59596,Moderate
163,2013-08,1781308653.163094,2003670595.959597,Low
163,2013-08,47539044890.76003,52245831387.87877,Middle
163,2013-08,70423982669.21388,76239488033.33331,High
164,2013-09,11394615941.41875,11647072256.06061,Moderate
164,2013-09,1543937572.534391,1589939639.89899,Low
164,2013-09,38233931234.26458,39647264903.53535,Middle
164,2013-09,56982694951.9124,58219942191.41414,High
165,2013-10,10923636982.06545,11292706658.58586,Moderate
165,2013-10,1430426707.48889,1544630365.656566,Low
165,2013-10,37466348807.72564,39193780468.68687,Middle
165,2013-10,53591943820.33932,55850588267.67678,High
166,2013-11,10677725658.38746,10349531388.38383,Moderate
166,2013-11,1503805463.103709,1366267488.383838,Low
166,2013-11,36222786857.05502,35002362061.11112,Middle
166,2013-11,51926831131.90183,50429310191.91921,High
167,2013-12,10603079923.69662,10774020462.12121,Moderate
167,2013-12,1397154998.254095,1327919144.949495,Low
167,2013-12,35280214166.41923,35080497407.07072,Middle
167,2013-12,50991774748.6177,52438758790.90907,High
168,2014-01,10153915384.44565,8030560706.565663,Moderate
168,2014-01,1416514065.628399,1154084512.121212,Low
168,2014-01,34427698538.32542,27820364869.69698,Middle
168,2014-01,48347473932.88366,40956711010.10103,High
169,2014-02,10054199321.82394,7995843710.101011,Moderate
169,2014-02,1479587748.64199,1242416368.181818,Low
169,2014-02,31692966215.08533,24899910718.68686,Middle
169,2014-02,46954447997.27045,37330715921.21215,High
170,2014-03,10007171884.55088,9396082802.020203,Moderate
170,2014-03,32867083211.65117,31714958648.98988,Middle
170,2014-03,47309802244.54865,46132076315.65656,High
170,2014-03,969124504.0924692,955965999.4949493,Low
171,2014-04,10355660877.57586,10487537644.44444,Moderate
171,2014-04,1458107825.497889,1399582950.505051,Low
171,2014-04,34596820841.53564,34635329690.90909,Middle
171,2014-04,51101659794.30182,50446399815.1515,High
172,2014-05,10648049629.49336,11491177179.79798,Moderate
172,2014-05,1411612188.427411,1497325528.282828,Low
172,2014-05,36006955833.85268,38415735491.41414,Middle
172,2014-05,51333153894.45322,54651118687.37375,High
173,2014-06,10907309628.48596,12472826548.48485,Moderate
173,2014-06,1540540998.77303,1828776326.767676,Low
173,2014-06,37197160939.04055,42442216096.96971,Middle
173,2014-06,53396362955.86843,59907517096.46465,High
174,2014-07,11549383923.87219,12840552419.69697,Moderate
174,2014-07,1702751977.36312,1843191609.59596,Low
174,2014-07,38374491603.95171,43611287287.87878,Middle
174,2014-07,57439573255.44702,64985856603.03027,High
175,2014-08,10787281252.0598,12062614740.9091,Moderate
175,2014-08,1381130032.456849,1546114461.616161,Low
175,2014-08,37969120609.34578,41939231372.22221,Middle
175,2014-08,55862208167.48103,60348784322.72727,High
176,2014-09,11307887762.3064,11579139637.87879,Moderate
176,2014-09,1580369483.953225,1618148815.656566,Low
176,2014-09,38884136101.41435,40337787336.86866,Middle
176,2014-09,58374384671.69909,59316220597.47474,High
177,2014-10,11569655985.71027,11848832316.66666,Moderate
177,2014-10,1590285498.307627,1715450039.393939,Low
177,2014-10,39671560994.80861,40634244467.67677,Middle
177,2014-10,58985741614.96191,60238784531.31317,High
178,2014-11,11586656586.96225,11072285628.28283,Moderate
178,2014-11,1642222204.484717,1488361495.454546,Low
178,2014-11,41151133712.40868,38774233387.37375,Middle
178,2014-11,61744041212.31972,58008846131.31317,High
179,2014-12,12322862450.80222,12440867371.71718,Moderate
179,2014-12,1674865200.722289,1593535592.929292,Low
179,2014-12,44411960428.86788,44079973304.54546,Middle
179,2014-12,68720457347.02112,70091721367.67674,High
180,2015-01,12534893229.55803,9686071573.232325,Moderate
180,2015-01,1572558968.813941,1258237160.606061,Low
180,2015-01,44370892959.42366,34383330875.75758,Middle
180,2015-01,67464129268.46297,54709042627.27273,High
181,2015-02,13807306050.34976,10807894704.04041,Moderate
181,2015-02,1707803184.897257,1397587494.444444,Low
181,2015-02,57182998056.18291,44406001347.9798,Middle
181,2015-02,95250655666.12212,73817278632.32326,High
182,2015-03,16588007313.28376,15584109006.06062,Moderate
182,2015-03,1761452780.513509,1734437274.242424,Low
182,2015-03,57641994980.05639,56334337061.11113,Middle
182,2015-03,94802241553.1058,93613511847.97978,High
183,2015-04,16215730613.36385,16477897565.15152,Moderate
183,2015-04,2300867910.399241,2225949658.585859,Low
183,2015-04,52395152160.88654,52479467513.13132,Middle
183,2015-04,80873253321.9837,80880291557.07069,High
184,2015-05,15406246994.19582,16730993610.60606,Moderate
184,2015-05,1797030200.359036,1935299629.29293,Low
184,2015-05,50808713734.63239,54521201796.96969,Middle
184,2015-05,79944657356.73491,86309917169.19191,High
185,2015-06,15211918094.35387,17711102156.0606,Moderate
185,2015-06,1764188247.409266,2114389719.69697,Low
185,2015-06,51891110284.67433,60075788618.18184,Middle
185,2015-06,79635753912.12323,91287170418.68687,High
186,2015-07,15092565579.18938,16729903696.9697,Moderate
186,2015-07,2131796620.728236,2309210901.010101,Low
186,2015-07,49621241259.84997,56296794363.13133,Middle
186,2015-07,70710517811.41702,79699083068.6869,High
187,2015-08,13959305396.40057,15832875800,Moderate
187,2015-08,1753250215.755511,1952750539.898992,Low
187,2015-08,46014156453.61745,51232399675.25253,Middle
187,2015-08,66950179032.33744,72656334909.59596,High
188,2015-09,15077996625.49738,15476919275.25252,Moderate
188,2015-09,1778766927.687436,1821553818.686869,Low
188,2015-09,47598275280.93691,50096319195.45454,Middle
188,2015-09,69333143654.70625,71594980403.53539,High
189,2015-10,14311897445.95983,14680865927.27273,Moderate
189,2015-10,1915299935.561402,2071206595.959596,Low
189,2015-10,48214635428.49567,49603856283.33332,Middle
189,2015-10,67755426006.87811,70137662989.39392,High
190,2015-11,12148314046.57034,11557402810.60607,Moderate
190,2015-11,1387914231.375108,1264034646.464647,Low
190,2015-11,42794660428.87716,40349709397.47474,Middle
190,2015-11,67430657951.65892,63718616243.93942,High
191,2015-12,15263430253.96243,15260484881.31314,Moderate
191,2015-12,1934091608.78054,1848017698.484849,Low
191,2015-12,48493087220.4045,48106433166.16158,Middle
191,2015-12,69968230232.86337,70600499921.71721,High
192,2016-01,13894105687.4953,10566899487.87879,Moderate
192,2016-01,1883607265.567846,1508330858.585859,Low
192,2016-01,48832797467.78168,36723817523.73737,Middle
192,2016-01,72023516657.12978,55930677049.99996,High
193,2016-02,15372223480.82992,11901491503.53535,Moderate
193,2016-02,2196239500.903641,1735835396.464646,Low
193,2016-02,52966934092.618,40299799077.27273,Middle
193,2016-02,74883142296.36034,56249428523.23231,High
194,2016-03,17228059900.77858,16206693697.9798,Moderate
194,2016-03,2027640881.558865,1988468358.585858,Low
194,2016-03,56108887797.16022,55159227650.50507,Middle
194,2016-03,87486143563.02637,86522942418.18182,High
195,2016-04,16117967350.06461,16311689372.22223,Moderate
195,2016-04,2130523603.25113,2059286809.595959,Low
195,2016-04,56279594580.17237,55616476988.88887,Middle
195,2016-04,87034472120.61864,86119862927.27277,High
196,2016-05,16466520380.06485,17887180450.50505,Moderate
196,2016-05,1973135129.05422,2158673481.313131,Low
196,2016-05,56891207968.39314,61084836628.28287,Middle
196,2016-05,84954055236.65532,91818376685.85864,High
197,2016-06,16979368088.16726,19953159102.52525,Moderate
197,2016-06,2021071322.299361,2424289112.626263,Low
197,2016-06,57419872458.85185,66343401235.35353,Middle
197,2016-06,86975488261.11121,99759504026.26263,High
198,2016-07,16702277864.83429,18426554931.81819,Moderate
198,2016-07,2065000810.762038,2224710691.414141,Low
198,2016-07,53696152363.37085,60122572095.9596,Middle
198,2016-07,81052609906.73087,90778158405.05052,High
199,2016-08,101365836555.4169,113646246559.5959,High
199,2016-08,19022541036.7444,21794917466.66666,Moderate
199,2016-08,2259245649.839542,2510706564.646464,Low
199,2016-08,65513272583.60905,74970808011.6162,Middle
200,2016-09,100917466913.8553,104910092047.4747,High
200,2016-09,19073173182.10247,19678116795.95959,Moderate
200,2016-09,2146397397.441767,2205424750.505052,Low
200,2016-09,65890932923.28246,69833283751.51521,Middle
201,2016-10,101517814076.8613,108419805285.3536,High
201,2016-10,18714042967.94751,19371991636.36364,Moderate
201,2016-10,2259987911.461148,2446604438.888889,Low
201,2016-10,64137955396.71357,67071531431.81816,Middle
202,2016-11,19634197914.8319,18691955625.25252,Moderate
202,2016-11,2061327548.805192,1901767394.444444,Low
202,2016-11,65611474094.91515,62845261548.48483,Middle
202,2016-11,97808874340.83897,94352492275.75763,High
203,2016-12,18662603347.24187,18450558043.93938,Moderate
203,2016-12,2233229639.68729,2146035974.747476,Low
203,2016-12,63599415111.22834,62371673382.32325,Middle
203,2016-12,92120617616.59753,90918720894.94954,High
204,2017-01,18074142946.51232,13648487295.9596,Moderate
204,2017-01,2237273553.288198,1801436081.818181,Low
204,2017-01,57687706791.82929,42937009764.14141,Middle
204,2017-01,81077715494.33055,61038536868.68685,High
205,2017-02,17114883612.71055,13210451465.65657,Moderate
205,2017-02,1893438547.25766,1461652567.171717,Low
205,2017-02,53453575941.69928,40332217955.55557,Middle
205,2017-02,72640616294.1241,54081862795.45455,High
206,2017-03,16813759411.87091,15935477249.99999,Moderate
206,2017-03,2049567633.104387,2000247175.252526,Low
206,2017-03,52789295339.53537,51123436390.40401,Middle
206,2017-03,70045205428.05708,67868010308.58588,High
207,2017-04,16195551321.58891,16269429256.56566,Moderate
207,2017-04,1923983633.002538,1865331709.595959,Low
207,2017-04,51045846379.6927,49875374388.88889,Middle
207,2017-04,62463390166.91905,60458575829.29293,High
208,2017-05,16567752400.9155,17886125586.86869,Moderate
208,2017-05,2347450131.988767,2575868690.909091,Low
208,2017-05,53822620721.44195,58095115288.38384,Middle
208,2017-05,71019856137.11449,77478903460.60608,High
209,2017-06,17199894819.06073,20167673317.17172,Moderate
209,2017-06,2205573509.775007,2627383965.151514,Low
209,2017-06,54025039875.48319,62270101665.65657,Middle
209,2017-06,70512131816.42,80805576286.36366,High
210,2017-07,15955889925.105,17534144194.94949,Moderate
210,2017-07,2126248756.379344,2268603928.282829,Low
210,2017-07,52128226186.20796,57744885417.6768,Middle
210,2017-07,68197159197.94022,76453089580.80807,High
211,2017-08,17545549212.12613,20244227493.43435,Moderate
211,2017-08,2336050080.841868,2589606630.30303,Low
211,2017-08,54688732362.79189,63488949961.61617,Middle
211,2017-08,68957390361.91824,78740994775.75763,High
212,2017-09,17023400933.83187,17622658610.60608,Moderate
212,2017-09,2360515698.315377,2463975527.272727,Low
212,2017-09,54117252754.90385,57710769060.101,Middle
212,2017-09,68370371871.73414,71688032026.26263,High
213,2017-10,17759945189.89521,18629144464.14142,Moderate
213,2017-10,2322312994.993462,2513520749.999999,Low
213,2017-10,55655144512.7796,59201497034.34341,Middle
213,2017-10,70354765516.395,76731651507.07065,High
214,2017-11,17822729031.61683,16952505445.9596,Moderate
214,2017-11,2469504635.265102,2279121160.10101,Low
214,2017-11,56167445847.5264,54075904448.98988,Middle
