month,date,tightness_index,unadjusted_credit_tightness_index
156,2013-01,90.57125000000001,89.20968000000001
157,2013-02,92.09671,90.94579
158,2013-03,93.13371000000001,92.64570000000001
159,2013-04,91.89465000000001,92.11997000000001
160,2013-05,96.31777000000001,95.99749000000001
161,2013-06,99.85635000000001,100.0079
162,2013-07,101.13804,101.35947
163,2013-08,102.36593,103.72084
164,2013-09,102.58761,103.03189
165,2013-10,102.78676,102.81447
166,2013-11,102.12095,103.20053
167,2013-12,103.22449,103.95083
168,2014-01,102.38333,100.70441
169,2014-02,101.28451,99.77756000000001
170,2014-03,101.86967,101.12956
171,2014-04,101.30628,101.02226
172,2014-05,100.91869,100.69579
173,2014-06,100.9508,101.35053
174,2014-07,101.29877,101.51491
175,2014-08,101.56963,102.80341
176,2014-09,102.24139,102.9544
177,2014-10,98.62351000000001,98.87596000000001
178,2014-11,98.72217000000001,99.80512
179,2014-12,97.09025000000001,97.88525000000001
180,2015-01,90.81286,89.34821000000001
181,2015-02,94.57083,93.0331
182,2015-03,95.90983000000001,95.05186
183,2015-04,96.02876000000001,95.4016
184,2015-05,98.34366000000001,98.39147000000001
185,2015-06,99.37183,99.83099000000001
186,2015-07,100.03258,100.09344
187,2015-08,98.42083000000001,99.42039000000001
188,2015-09,98.66132,99.42488
189,2015-10,98.81632,99.18018000000001
190,2015-11,98.22264000000001,99.40013
191,2015-12,97.95584000000001,98.91037000000001
192,2016-01,97.04551000000001,95.59371
193,2016-02,94.17645,92.77287000000001
194,2016-03,96.58614000000001,95.5621
195,2016-04,95.36191000000001,94.52982
196,2016-05,95.02570000000001,95.25271000000001
197,2016-06,93.31700000000001,93.71754000000001
198,2016-07,92.03863000000001,91.87647000000001
199,2016-08,92.50446000000001,93.1837
200,2016-09,93.78681,94.50099
201,2016-10,94.22713,94.75064
202,2016-11,95.84431000000001,97.03381
203,2016-12,97.95315000000001,99.01575000000001
204,2017-01,98.19644000000001,96.84425
205,2017-02,97.36410000000001,96.15759000000001
206,2017-03,97.85421000000001,96.71537000000001
207,2017-04,97.89246000000001,97.00501000000001
208,2017-05,97.51717000000001,97.87061000000001
209,2017-06,96.66167,96.96609000000001
210,2017-07,95.84373000000001,95.34965000000001
211,2017-08,94.29814,94.90274000000001
212,2017-09,94.97369,95.78625000000001
213,2017-10,95.39421,96.06616000000001
214,2017-11,95.39863000000001,96.41596000000001
215,2017-12,95.04591000000001,95.98937000000001
216,2018-01,95.70154000000001,94.36917000000001
217,2018-02,95.83800000000001,94.97589000000001
218,2018-03,95.89273000000001,94.69793000000001
219,2018-04,95.86709,95.22256
220,2018-05,96.23353,96.68666
221,2018-06,96.87517000000001,97.17206
222,2018-07,97.72845000000001,96.97392000000001
223,2018-08,97.69333,98.31274000000001
224,2018-09,97.62746000000001,98.50479000000001
225,2018-10,97.27030000000001,98.09744000000001
226,2018-11,97.14812000000001,97.82686000000001
227,2018-12,95.20426,95.82493000000001
228,2019-01,93.03858000000001,91.65635
229,2019-02,92.4487,91.88116000000001
230,2019-03,90.81083000000001,89.73630000000001
231,2019-04,89.88309000000001,89.6418
232,2019-05,88.73836000000001,89.24377000000001
233,2019-06,85.85995000000001,86.14889000000001
234,2019-07,87.84800000000001,87.08991
235,2019-08,83.60633,84.15933000000001
236,2019-09,87.45418000000001,88.29832
237,2019-10,86.97108,87.8143
238,2019-11,87.13571,87.37785000000001
239,2019-12,87.61073,87.71132
240,2020-01,86.89433000000001,85.36603000000001
241,2020-02,84.39418000000001,84.08505000000001
242,2020-03,82.29960000000001,81.48465
243,2020-04,81.40879000000001,81.55951
244,2020-05,82.43774000000001,83.03792
245,2020-06,82.89774000000001,83.23639
246,2020-07,82.57803000000001,81.96480000000001
247,2020-08,83.64878,84.11984000000001
248,2020-09,82.97393000000001,83.76985000000001
249,2020-10,82.14846,82.97588
250,2020-11,80.11975000000001,80.03992000000001
251,2020-12,78.95648000000001,78.63012000000001
252,2021-01,81.11137000000001,79.53752
253,2021-02,83.88528000000001,83.64532000000001
