month,date,vol,vol_unadj,credit_score_group
99,2008-04,85513121182.15506,98631289026.26259,Super-prime
100,2008-05,11146721352.85996,11630583052.52525,Near-prime
100,2008-05,25573790883.02507,27409229863.63636,Prime
100,2008-05,2818135908.639032,2836910747.979799,Deep subprime
100,2008-05,4716526800.64246,4975814627.777779,Subprime
100,2008-05,79713171203.9265,88925901077.77782,Super-prime
101,2008-06,22539815149.99836,24852956798.9899,Prime
101,2008-06,2422084085.637029,2644219739.393939,Deep subprime
101,2008-06,4522310155.341884,5010787750.000001,Subprime
101,2008-06,73432701757.94765,80304301869.19188,Super-prime
101,2008-06,9800407799.656694,10647417356.0606,Near-prime
102,2008-07,22414482382.92064,22487963679.29293,Prime
102,2008-07,2252223551.713965,2278745885.353534,Deep subprime
102,2008-07,4878280378.48535,5079634919.69697,Subprime
102,2008-07,72026034660.02698,68793001760.10101,Super-prime
102,2008-07,9759545636.288342,10158054817.67677,Near-prime
103,2008-08,20695650606.32935,19984486343.43435,Prime
103,2008-08,2427816190.712371,2515012903.030303,Deep subprime
103,2008-08,4537547376.513309,4263636035.353534,Subprime
103,2008-08,67679947191.17478,60237905576.76771,Super-prime
103,2008-08,9000018543.313713,9237072201.010103,Near-prime
104,2008-09,19936332064.41926,19132295357.57576,Prime
104,2008-09,2243020036.997139,2405821898.9899,Deep subprime
104,2008-09,4612723899.308075,4822990430.30303,Subprime
104,2008-09,67655638281.44975,55404285056.56565,Super-prime
104,2008-09,9670427188.681824,9346928384.343435,Near-prime
105,2008-10,21099877872.50465,21277399643.93941,Prime
105,2008-10,2219692043.339466,2240360362.121213,Deep subprime
105,2008-10,4130227911.134974,4264084900.50505,Subprime
105,2008-10,68608425585.00069,63514743502.0202,Super-prime
105,2008-10,8952612066.70175,9031369366.161615,Near-prime
106,2008-11,14647827433.10523,14091471010.10101,Prime
