month,date,vol,vol_unadj,age_group
108,2009-01,61020295276.33171,59660586167.17171,Age 45-64
108,2009-01,75129272318.36931,64391930644.94947,Age 30-44
108,2009-01,9039020117.068394,9465955916.161617,Age 65 and older
109,2009-02,10842476244.14964,11070595252.0202,Age 65 and older
109,2009-02,17429660463.14276,12520579591.91919,Younger than 30
109,2009-02,80409776021.77748,73876398783.33334,Age 45-64
109,2009-02,85467955293.85197,73596526831.81821,Age 30-44
110,2009-03,10630266057.30017,12691036048.48485,Age 65 and older
110,2009-03,14090657787.63947,14055728560.10101,Younger than 30
110,2009-03,69075138827.90062,75907527664.14145,Age 30-44
110,2009-03,71630648192.22914,79997265994.44443,Age 45-64
111,2009-04,11738298031.7066,12853434264.14141,Age 65 and older
111,2009-04,15421380305.80721,15763227588.38384,Younger than 30
111,2009-04,74681967861.47208,79335638472.72726,Age 30-44
111,2009-04,77481032395.67439,82570911481.81821,Age 45-64
112,2009-05,13911628262.52908,14756798542.92929,Age 65 and older
112,2009-05,14732799213.96325,16261547351.51516,Younger than 30
112,2009-05,78355845189.10918,80774314624.24245,Age 30-44
112,2009-05,83230121990.86937,88230150602.52528,Age 45-64
113,2009-06,13949263505.2676,14523217284.34343,Age 65 and older
113,2009-06,15872682601.58409,18491012198.98991,Younger than 30
113,2009-06,72611569390.28081,80329059718.68684,Age 30-44
113,2009-06,83030188750.11594,86481855376.76768,Age 45-64
114,2009-07,13340906887.21161,12122500261.11111,Age 65 and older
114,2009-07,15541526256.07382,17029549315.65657,Younger than 30
114,2009-07,67475003952.41649,66265617031.31313,Age 30-44
114,2009-07,74311086064.03741,70473821789.39395,Age 45-64
115,2009-08,14154929242.76059,14825067398.9899,Younger than 30
115,2009-08,50678730857.70159,51203187200.50507,Age 30-44
115,2009-08,55894462326.07687,53144307212.62627,Age 45-64
115,2009-08,9029235609.450645,8773259867.676765,Age 65 and older
116,2009-09,14070061398.88184,14227070872.72728,Younger than 30
116,2009-09,52944007620.92521,49318184876.76768,Age 30-44
116,2009-09,53760862791.60071,48154720248.98993,Age 45-64
116,2009-09,9663085080.842241,8408846197.474747,Age 65 and older
117,2009-10,15290784224.52825,16698001618.18182,Younger than 30
117,2009-10,51989274559.30965,53877922114.1414,Age 30-44
117,2009-10,52512659837.02182,52922478860.10102,Age 45-64
117,2009-10,8828767681.806635,8223135828.28283,Age 65 and older
118,2009-11,15941048455.79031,16601956895.95959,Younger than 30
118,2009-11,50326033745.18388,53773328902.02022,Age 30-44
118,2009-11,52230134522.71437,53542991827.77776,Age 45-64
118,2009-11,8173937386.674801,8002257786.363634,Age 65 and older
119,2009-12,12601656633.12416,13014304750,Younger than 30
119,2009-12,51677524230.09555,55612674462.12122,Age 30-44
119,2009-12,54754850873.21081,58694462690.90913,Age 45-64
119,2009-12,9215621197.328997,9222418795.454542,Age 65 and older
120,2010-01,44844814046.22343,37946359323.23233,Age 30-44
120,2010-01,48697646751.68871,47978171481.31312,Age 45-64
120,2010-01,7745152285.89231,8244577340.404038,Age 65 and older
120,2010-01,9886009416.178715,6977649539.89899,Younger than 30
121,2010-02,11175573780.33794,7855421050.000002,Younger than 30
121,2010-02,40345846831.2476,33540948591.91918,Age 30-44
121,2010-02,44927762431.22488,40682177628.78789,Age 45-64
121,2010-02,7007400023.963644,6941417181.81818,Age 65 and older
122,2010-03,11393911316.01744,11103447810.10101,Younger than 30
122,2010-03,43532592491.59509,45096593875.25252,Age 30-44
122,2010-03,46150258977.17387,49195955236.36364,Age 45-64
122,2010-03,7670329369.733285,8771410060.101009,Age 65 and older
123,2010-04,12247882102.88881,12380872470.70707,Younger than 30
123,2010-04,44540491351.64925,44518764812.62626,Age 30-44
123,2010-04,47060184843.3357,47900346279.29294,Age 45-64
123,2010-04,7860616713.582609,8162659311.616164,Age 65 and older
124,2010-05,11357132981.04609,12403818371.71717,Younger than 30
124,2010-05,41040382173.93903,41769644137.37375,Age 45-64
