month,date,vol,vol_unadj
181,2015-02,167281325219.3002,131332160003.5353
182,2015-03,170483679887.5608,167994138202.5253
183,2015-04,153184320884.5522,153055688488.3838
184,2015-05,149381886558.9199,160756596813.1312
185,2015-06,150032670995.4677,172968715266.1616
186,2015-07,138616804623.9307,156426522004.0404
187,2015-08,129733218652.9372,142510095933.8383
188,2015-09,135361820231.4818,139932709081.8181
189,2015-10,132682831620.5293,136949041236.8687
190,2015-11,126963632793.0289,118219708800
191,2015-12,135877717324.5418,136579886733.8384
192,2016-01,136423789207.4249,105275330886.3637
193,2016-02,145219290200.1884,110754703116.6667
194,2016-03,162105870241.4432,160773537563.1313
195,2016-04,163467854729.8577,160765191116.6667
196,2016-05,161544315223.2813,174086006123.7375
197,2016-06,164307612369.377,189551772790.4041
198,2016-07,154726088699.1173,172739995305.5556
199,2016-08,188789166464.7337,213983795605.5556
200,2016-09,188658903519.2316,197726546923.7375
201,2016-10,187765561815.5653,198171942583.3334
202,2016-11,187872452779.3427,178756212811.1111
203,2016-12,178088211672.8671,175898964691.9192
204,2017-01,160340409260.1149,120352046569.192
205,2017-02,145688950305.3466,109800421288.8889
206,2017-03,141563334387.9453,138069296370.202
207,2017-04,134309638303.6037,129409254356.0606
208,2017-05,144443240072.2137,156945396404.0404
209,2017-06,144968575657.3101,167043902632.8283
210,2017-07,139524786271.8721,155065602838.3838
211,2017-08,144089113464.5205,166473079889.899
212,2017-09,142290361818.6256,150436247881.3132
213,2017-10,146764228765.9733,157833946320.7072
214,2017-11,150996643217.5716,145548337868.1818
215,2017-12,148856446493.7022,143434868945.9595
216,2018-01,152204819720.1318,113078802227.2727
217,2018-02,146662659421.4024,111237913795.4545
218,2018-03,143586100387.5436,138528665478.2828
219,2018-04,141128964111.8825,136610446946.4647
220,2018-05,141473760021.7827,153437345907.0708
221,2018-06,140755315409.829,160579540411.1111
222,2018-07,134940248061.7098,150505009111.1111
223,2018-08,133244808472.9901,153743597406.5656
224,2018-09,113612712154.703,120684553752.5253
225,2018-10,123180103973.676,133752624174.2425
226,2018-11,124065583849.0023,119074556276.7677
227,2018-12,120690378574.8905,114028552893.4343
228,2019-01,124207151823.8503,92462368734.34346
229,2019-02,139917788568.1445,109697314781.3132
230,2019-03,141226288354.1605,137585421940.404
231,2019-04,165830936609.8653,162909354586.8688
232,2019-05,177491325411.4406,192058627087.8788
233,2019-06,171425596930.9808,192644816054.0404
234,2019-07,202993921217.7496,224413847065.6567
235,2019-08,208664816506.5008,235093443408.0807
236,2019-09,226250163440.8813,242438893620.2021
237,2019-10,231764370278.9754,251087037856.5658
238,2019-11,231880873350.5994,219392844120.202
239,2019-12,235366811580.0192,221816627369.6971
240,2020-01,246681607912.5728,187092015563.1313
241,2020-02,251234277930.4432,202901911105.0506
242,2020-03,272351452273.3891,273587305743.4343
243,2020-04,314230288695.0133,314561681013.1312
244,2020-05,298625157093.3136,320116262682.8283
245,2020-06,328668912088.4636,364941780327.7776
246,2020-07,352226745317.269,380441559276.7677
247,2020-08,353005921561.1653,389954783005.0505
248,2020-09,377822187420.6089,406742067840.9089
249,2020-10,409419949609.3807,437960032973.2324
250,2020-11,408280534198.7687,381089988203.0303
251,2020-12,443309411374.4378,422114003342.4243
252,2021-01,483121658970.7907,368773114892.4246
253,2021-02,465978600558.0352,385025594631.818
254,2021-03,440159468525.6345,457263926510.101
255,2021-04,387644179785.4822,388122681541.9191
256,2021-05,319030231109.0997,345757126464.1413
257,2021-06,340357372535.5016,378173626012.6263
258,2021-07,327694924333.3391,343027304244.9493
259,2021-08,332495283255.3556,367231880160.6059
260,2021-09,336037530287.8745,362161607156.5656
261,2021-10,328093506167.105,342974497553.0302
262,2021-11,345428484523.8067,319239672354.5456
263,2021-12,321104432962.8246,307495023302.5255
264,2022-01,310916648875.835,235666258059.5961
265,2022-02,272299138779.9382,225613874428.283
266,2022-03,246849535525.9582,259563645047.4748
267,2022-04,230380323398.1388,232498735273.7374
268,2022-05,196238396488.2563,217035692452.0202
269,2022-06,183077397905.8714,205751886129.2929
270,2022-07,162979081668.9085,168249815579.293
271,2022-08,152269452877.1704,170245969931.3131
272,2022-09,144868270673.628,154844913858.0807
273,2022-10,127789669336.9508,132370232577.7778
274,2022-11,117761484775.0985,106965088190.4041
275,2022-12,113619519834.3727,108156401241.9192
276,2023-01,104631900099.397,77122502471.71715
277,2023-02,108798364266.9754,89576047905.55553
278,2023-03,121049383558.0811,127490205482.3232
279,2023-04,114307678054.0822,116060898110.6061
280,2023-05,127599681780.4212,145352557588.3839
281,2023-06,132082485289.035,150027791750.0001
282,2023-07,125688083579.8922,130009907104.5455
283,2023-08,124069561470.588,140677926125.2525
284,2023-09,112672301895.6468,118831495252.5253
285,2023-10,109011829881.1958,112943290079.2929
286,2023-11,110729579209.8949,99134999500.00003
287,2023-12,100629443581.5401,94477940672.22221
288,2024-01,119684281216.8793,86526384899.99998
289,2024-02,126194446143.2866,102870630491.4141
290,2024-03,117919220477.4496,122618404482.3233
291,2024-04,127380809978.4163,131789040521.7171
292,2024-05,127240705407.0097,147450027382.3233
293,2024-06,121383882444.4783,138494375874.2425
294,2024-07,145927506220.4893,152328162189.3939
295,2024-08,133770728088.557,152423906162.6263
296,2024-09,136721098876.2455,142621313726.2625
297,2024-10,163559028892.4478,171001221777.2727
298,2024-11,157792086397.5731,139968104970.5843
299,2024-12,148889630342.248,138470347203.6298
300,2025-01,144722356411.7079,103693278378.7723
301,2025-02,132583553148.8963,107542619691.0323
302,2025-03,134968437940.1449,139792465476.7507
303,2025-04,152127373443.4421,158950380393.8214
